
Solution: (0,9) (0,32) (1,1) (2,12) (2,33) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (11,46) (12,48) (13,35) (14,29) (15,42) (16,17) (17,34) (18,23) (19,38) (20,6) (21,8) (22,45) (23,30) (24,26) (25,43) (26,19) (28,36) (29,49) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (46,44) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 11


Solution: (0,9) (0,32) (1,1) (2,12) (2,33) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (11,46) (12,48) (13,35) (14,29) (15,42) (16,17) (17,34) (18,23) (20,6) (21,8) (22,45) (23,30) (24,26) (25,43) (26,19) (27,38) (28,36) (29,49) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (46,44) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 10

Solution: (0,9) (0,32) (1,1) (2,12) (2,33) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (11,46) (12,48) (13,35) (14,29) (15,42) (16,17) (17,34) (18,23) (20,6) (21,8) (22,45) (23,30) (24,26) (25,43) (26,19) (27,38) (28,36) (29,49) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (46,44) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 10


Solution: (0,9) (0,32) (1,1) (2,12) (2,33) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (11,46) (12,48) (13,35) (14,29) (15,42) (16,17) (17,34) (18,23) (20,6) (21,8) (22,45) (23,30) (24,26) (25,43) (26,19) (27,38) (28,36) (29,49) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (46,44) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 10


Solution: (0,9) (0,32) (1,1) (2,12) (2,33) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (11,46) (12,48) (13,35) (14,29) (15,42) (16,17) (17,34) (18,23) (20,6) (21,8) (22,45) (23,30) (24,26) (25,43) (26,19) (27,38) (28,36) (29,49) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (46,44) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 10


Solution: (0,9) (0,32) (1,1) (2,12) (2,33) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (11,46) (12,48) (13,35) (14,29) (15,42) (16,17) (17,34) (18,23) (20,6) (21,8) (22,45) (23,30) (24,26) (25,43) (26,19) (27,38) (28,36) (29,49) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (46,44) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 10


Solution: (0,9) (0,32) (1,1) (2,12) (2,33) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (11,46) (12,48) (13,35) (14,29) (15,42) (16,17) (17,34) (18,23) (20,6) (21,8) (22,45) (23,30) (24,26) (25,43) (26,19) (27,38) (28,36) (29,49) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (46,44) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 10


Solution: (0,9) (0,32) (1,1) (2,12) (2,33) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (10,44) (11,46) (12,48) (13,35) (14,29) (15,42) (16,17) (17,34) (18,23) (20,6) (21,8) (22,45) (23,30) (24,26) (25,43) (26,19) (27,38) (28,36) (29,49) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 9

Solution: (0,9) (0,32) (1,1) (2,12) (2,33) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (10,44) (11,46) (12,48) (13,35) (14,29) (15,42) (16,17) (17,34) (18,23) (20,6) (21,8) (22,45) (23,30) (24,26) (25,43) (26,19) (27,38) (28,36) (29,49) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 9


Solution: (0,9) (0,32) (1,1) (2,12) (2,33) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (10,44) (12,48) (13,35) (14,29) (15,42) (16,17) (17,34) (18,23) (20,6) (21,8) (22,45) (23,30) (24,26) (25,43) (26,19) (27,38) (28,36) (29,49) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (40,46) (41,40) (42,27) (43,47) (44,28) (45,13) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 8

Solution: (0,9) (0,32) (1,1) (2,12) (2,33) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (10,44) (12,48) (13,35) (14,29) (15,42) (16,17) (17,34) (18,23) (20,6) (21,8) (22,45) (23,30) (24,26) (25,43) (26,19) (27,38) (28,36) (29,49) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (40,46) (41,40) (42,27) (43,47) (44,28) (45,13) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 8


Solution: (0,9) (0,32) (1,1) (2,12) (2,33) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (10,44) (11,48) (13,35) (14,29) (15,42) (16,17) (17,34) (18,23) (20,6) (21,8) (22,45) (23,30) (24,26) (25,43) (26,19) (27,38) (28,36) (29,49) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (40,46) (41,40) (42,27) (43,47) (44,28) (45,13) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 7

Solution: (0,9) (0,32) (1,1) (2,12) (2,33) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (10,44) (11,48) (13,35) (14,29) (15,42) (16,17) (17,34) (18,23) (20,6) (21,8) (22,45) (23,30) (24,26) (25,43) (26,19) (27,38) (28,36) (29,49) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (40,46) (41,40) (42,27) (43,47) (44,28) (45,13) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 7

Done in 0 restarts.
Run Time: 12.856 seconds
Queens: 50
Solution: (0,4) (0,24) (0,27) (1,35) (3,41) (4,29) (6,3) (6,19) (7,0) (8,6) (8,44) (10,1) (10,5) (11,8) (11,40) (13,32) (16,14) (18,7) (18,31) (21,48) (22,18) (23,2) (23,38) (24,16) (26,10) (26,42) (27,22) (27,39) (28,33) (29,20) (30,30) (31,11) (31,28) (31,34) (32,45) (33,23) (33,36) (35,9) (39,13) (43,12) (43,37) (44,25) (47,21) (47,43) (47,49) (48,17) (48,26) (48,47) (49,15) (49,46) 
# pairs of queens attacking each other: 47

